"","TOT_FLY_OPS","TOT_DIR_MAINT","TOTAL_AIR_HOURS","AIRCRAFT_CONFIG","UNIQUE_CARRIER_NAME","CARRIER","REGION","YEAR","QUARTER","time_pt","AC_GROUP","SSD_NAME","MANUFACTURER","LONG_NAME","SHORT_NAME","BEGIN_DATE"
"16089",38439,3781,6,1,"Delta Air Lines Inc.","DL","L",2009,1,2009.1,6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4","1/1/1998 12:00:00 AM"
"16090",85747.08,2881.09,4.02,2,"National Air Cargo Group Inc d/ba National Airlines","N8","I",2022,4,2022.4,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16091",73954.39,16210.3,9.58,1,"Hawaiian Airlines Inc.","HA","D",2012,1,2012.1,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16092",34518,3372,4.59,1,"Delta Air Lines Inc.","DL","L",2013,4,2013.4,6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4","1/1/1998 12:00:00 AM"
"16093",48544.5,1676.21,16.61,1,"AirTran Airways Corporation","FL","D",2005,4,2005.4,6,"BOEING 737-700/LR","BOEING","BOEING 737-700/700LR/MAX 7","B737-7","1/1/1998 12:00:00 AM"
"16094",31411.4,8103.22,3.07,2,"United Parcel Service","5X","D",2018,1,2018.1,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16095",65152.3,8598.71,13.07,1,"Hawaiian Airlines Inc.","HA","D",2005,2,2005.2,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16096",20947.81,7155.74,3.91,2,"Amerijet International","M6","D",2024,3,2024.3,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16097",27729,2891,4.95,1,"Delta Air Lines Inc.","DL","L",2009,4,2009.4,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16098",40076,9411,9.61,1,"United Air Lines Inc.","UA","D",2009,1,2009.1,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16099",21417.46,2850.8,4.2,1,"Spirit Air Lines","NK","L",2025,3,2025.3,6,"A320-100/200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A320-100/200","A320-1/2","1/1/1990 12:00:00 AM"
"16100",55365,9969,13.91,1,"Continental Air Lines Inc.","CO","D",2006,2,2006.2,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
"16101",126762,11448,16.78,1,"Continental Air Lines Inc.","CO","A",2008,1,2008.1,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16102",16096.6,2973.23,4.09,2,"Atlas Air Inc.","5Y","I",2014,3,2014.3,8,"BOEING B747-8","BOEING","BOEING B747-8","B747-8","1/1/2010 12:00:00 AM"
"16103",10520.81,6096.19,6.87,2,"Atlas Air Inc.","5Y","I",2018,3,2018.3,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16104",31109.51,4119.56,7.76,1,"US Airways Inc.","US","L",2014,2,2014.2,6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319","1/1/1997 12:00:00 AM"
"16105",17514.69,2875.07,4.09,2,"Atlas Air Inc.","5Y","I",2014,2,2014.2,8,"BOEING B747-8","BOEING","BOEING B747-8","B747-8","1/1/2010 12:00:00 AM"
"16106",23259.98,2636.98,4.87,1,"Spirit Air Lines","NK","L",2023,3,2023.3,6,"A321/LR","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A321/LR","A321/LR","1/1/2019 12:00:00 AM"
"16107",22051,13671,8.77,1,"Alaska Airlines Inc.","AS","D",2015,4,2015.4,6,"BOEING 737-900","BOEING","BOEING 737-900","B737-9","4/1/2002 12:00:00 AM"
"16108",19873,9387,2.34,2,"Federal Express Corporation","FX","A",2021,3,2021.3,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
"16109",21119.24,1155.82,10.47,1,"JetBlue Airways","B6","L",2017,1,2017.1,6,"A321/LR","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A321/LR","A321/LR","1/1/2019 12:00:00 AM"
"16110",81318,11217,15.93,1,"Continental Air Lines Inc.","CO","A",2007,2,2007.2,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16111",32097,4698,7.89,1,"Southwest Airlines Co.","WN","D",2014,3,2014.3,6,"BOEING 737-500","BOEING","BOEING 737-500","B737-5","1/1/1990 12:00:00 AM"
"16112",27709.29,6976.1,3.17,2,"United Parcel Service","5X","D",2017,2,2017.2,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16113",69155,8843,14.33,1,"Continental Air Lines Inc.","CO","A",2006,1,2006.1,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16114",25007,6140,6.02,1,"Alaska Airlines Inc.","AS","D",2019,3,2019.3,6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319","1/1/1997 12:00:00 AM"
"16115",26642.23,1649.65,5.96,1,"Frontier Airlines Inc.","F9","D",2024,2,2024.2,6,"A320-100/200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A320-100/200","A320-1/2","1/1/1990 12:00:00 AM"
"16116",33667,5545,7.06,1,"American Airlines Inc.","AA","A",2010,4,2010.4,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
"16117",24937.55,6783.8,3.15,2,"United Parcel Service","5X","D",2016,3,2016.3,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16118",60534,13355,11.37,1,"United Air Lines Inc.","UA","D",2007,3,2007.3,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16119",58061,11305,9.89,1,"United Air Lines Inc.","UA","D",2007,4,2007.4,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16120",41035,9589,10.15,1,"Continental Air Lines Inc.","CO","D",2009,4,2009.4,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
"16121",27330.11,2580.25,4.54,1,"United Air Lines Inc.","UA","D",2024,4,2024.4,6,"B787-9 DREAMLINER","BOEING","B787-900 DREAMLINER","B787-9","1/1/2012 12:00:00 AM"
"16122",55484,6504,3.78,2,"United Parcel Service","5X","P",2008,3,2008.3,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16123",37027.92,2443.16,10.74,1,"United Air Lines Inc.","UA","L",2013,3,2013.3,6,"BOEING 737-900","BOEING","BOEING 737-900","B737-9","4/1/2002 12:00:00 AM"
"16124",27133,10949,3.93,2,"United Parcel Service","5X","L",2008,2,2008.2,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
